,date,person_id,pm_id_0,pm_id_1,pm_id_2,pm_id_3,belongs_to_datasets,count_belongs_to_datasets
412,2019-03-13,3,2033176.0,,,,0,1
413,2019-03-14,3,2033176.0,,,,0,1
414,2019-03-15,3,2033176.0,,,,0,1
415,2019-03-16,3,2033176.0,,,,0,1
416,2019-03-17,3,2033176.0,,,,0,1
417,2019-03-18,3,2033176.0,,,,0,1
418,2019-03-19,3,2033176.0,,,,0,1
419,2019-03-20,3,2033176.0,,,,0,1
420,2019-03-21,3,2033176.0,,,,0,1
421,2019-03-22,3,2033176.0,,,,0,1
422,2019-03-23,3,2033176.0,,,,0,1
423,2019-03-24,3,2033176.0,,,,0,1
424,2019-03-25,3,2033176.0,,,,0,1
425,2019-03-26,3,2033176.0,,,,0,1
426,2019-03-27,3,2033176.0,,,,0,1
427,2019-03-28,3,2033176.0,,,,0,1
428,2019-03-29,3,2033176.0,,,,0,1
429,2019-03-30,3,2033176.0,,,,0,1
430,2019-03-31,3,2033176.0,,,,0,1
431,2019-04-01,3,2033176.0,,,,0,1
432,2019-04-02,3,2033176.0,,,,0,1
433,2019-04-03,3,2033176.0,,,,0,1
434,2019-04-04,3,2033176.0,,,,0,1
435,2019-04-05,3,2033176.0,,,,0,1
436,2019-04-07,3,2033176.0,,,,0,1
437,2019-04-08,3,2033176.0,,,,0,1
438,2019-04-09,3,2033176.0,,,,0,1
439,2019-04-10,3,2033176.0,,,,0,1
440,2019-04-11,3,2033176.0,,,,0,1
441,2019-04-12,3,2033176.0,,,,0,1
442,2019-04-13,3,2033176.0,,,,0,1
443,2019-04-14,3,2033176.0,,,,0,1
444,2019-04-15,3,2033176.0,,,,0,1
445,2019-04-16,3,2033176.0,,,,0,1
446,2019-04-17,3,2033176.0,,,,0,1
447,2019-04-18,3,2033176.0,,,,0,1
448,2019-04-19,3,2033176.0,,,,0,1
449,2019-04-20,3,2033176.0,,,,0,1
450,2019-04-21,3,2033176.0,,,,0,1
451,2019-04-22,3,2033176.0,,,,0,1
452,2019-04-23,3,2033176.0,,,,0,1
453,2019-04-24,3,2033176.0,,,,0,1
454,2019-04-25,3,2033176.0,,,,0,1
455,2019-04-26,3,2033176.0,,,,0,1
456,2019-04-27,3,2033176.0,,,,0,1
457,2019-04-28,3,2033176.0,,,,0,1
458,2019-05-13,3,2033176.0,,,,0,1
459,2019-05-14,3,2033176.0,,,,0,1
460,2019-05-15,3,2033176.0,,,,0,1
461,2019-05-16,3,2033176.0,,,,0,1
462,2019-05-17,3,2033176.0,,,,0,1
463,2019-05-18,3,2033176.0,,,,0,1
464,2019-05-19,3,2033176.0,,,,0,1
465,2019-05-20,3,2033176.0,,,,0,1
466,2019-05-21,3,2033176.0,,,,0,1
467,2019-05-22,3,2033176.0,,,,0,1
468,2019-05-23,3,2033176.0,,,,0,1
469,2019-05-24,3,2033176.0,,,,0,1
470,2019-05-25,3,2033176.0,,,,0,1
471,2019-05-26,3,2033176.0,,,,0,1
472,2019-05-27,3,2033176.0,,,,0,1
473,2019-05-28,3,2033176.0,,,,0,1
474,2019-05-29,3,2033176.0,,,,0,1
475,2019-05-30,3,2033176.0,,,,0,1
476,2019-05-31,3,2033176.0,,,,0,1
477,2019-06-01,3,2033176.0,,,,0,1
